run_id	phase	setting	shift_family	severity	application_mode	shift_seed	max_samples
phase0_null_all_missing_flag_seed0	phase0	null_all_missing_flag	none	none	none	0	
phase0_null_rsu_only_seed0	phase0	null_rsu_only	none	none	none	0	
phase0_null_vehicle_only_seed0	phase0	null_vehicle_only	none	none	none	0	
