run_id	phase	setting	shift_family	severity	application_mode	max_samples	shift_seed
stage5_clean_all_color_quant_s1_all_shifted_seed0	stage5	clean_all	color_quant	s1	all_shifted		0
stage5_clean_all_color_quant_s1_rsu_shifted_only_cav_clean_seed0	stage5	clean_all	color_quant	s1	rsu_shifted_only_cav_clean		0
stage5_clean_all_color_quant_s1_cav_shifted_only_rsu_clean_seed0	stage5	clean_all	color_quant	s1	cav_shifted_only_rsu_clean		0
stage5_clean_all_color_quant_s2_all_shifted_seed0	stage5	clean_all	color_quant	s2	all_shifted		0
stage5_clean_all_color_quant_s2_rsu_shifted_only_cav_clean_seed0	stage5	clean_all	color_quant	s2	rsu_shifted_only_cav_clean		0
stage5_clean_all_color_quant_s2_cav_shifted_only_rsu_clean_seed0	stage5	clean_all	color_quant	s2	cav_shifted_only_rsu_clean		0
stage5_clean_all_color_quant_s3_all_shifted_seed0	stage5	clean_all	color_quant	s3	all_shifted		0
stage5_clean_all_color_quant_s3_rsu_shifted_only_cav_clean_seed0	stage5	clean_all	color_quant	s3	rsu_shifted_only_cav_clean		0
stage5_clean_all_color_quant_s3_cav_shifted_only_rsu_clean_seed0	stage5	clean_all	color_quant	s3	cav_shifted_only_rsu_clean		0
stage5_clean_all_color_quant_stress_all_shifted_seed0	stage5	clean_all	color_quant	stress	all_shifted		0
stage5_clean_all_color_quant_stress_rsu_shifted_only_cav_clean_seed0	stage5	clean_all	color_quant	stress	rsu_shifted_only_cav_clean		0
stage5_clean_all_color_quant_stress_cav_shifted_only_rsu_clean_seed0	stage5	clean_all	color_quant	stress	cav_shifted_only_rsu_clean		0
stage5_clean_all_resolution_s1_all_shifted_seed0	stage5	clean_all	resolution	s1	all_shifted		0
stage5_clean_all_resolution_s1_rsu_shifted_only_cav_clean_seed0	stage5	clean_all	resolution	s1	rsu_shifted_only_cav_clean		0
stage5_clean_all_resolution_s1_cav_shifted_only_rsu_clean_seed0	stage5	clean_all	resolution	s1	cav_shifted_only_rsu_clean		0
stage5_clean_all_resolution_s2_all_shifted_seed0	stage5	clean_all	resolution	s2	all_shifted		0
stage5_clean_all_resolution_s2_rsu_shifted_only_cav_clean_seed0	stage5	clean_all	resolution	s2	rsu_shifted_only_cav_clean		0
stage5_clean_all_resolution_s2_cav_shifted_only_rsu_clean_seed0	stage5	clean_all	resolution	s2	cav_shifted_only_rsu_clean		0
stage5_clean_all_resolution_s3_all_shifted_seed0	stage5	clean_all	resolution	s3	all_shifted		0
stage5_clean_all_resolution_s3_rsu_shifted_only_cav_clean_seed0	stage5	clean_all	resolution	s3	rsu_shifted_only_cav_clean		0
stage5_clean_all_resolution_s3_cav_shifted_only_rsu_clean_seed0	stage5	clean_all	resolution	s3	cav_shifted_only_rsu_clean		0
stage5_clean_all_resolution_stress_all_shifted_seed0	stage5	clean_all	resolution	stress	all_shifted		0
stage5_clean_all_resolution_stress_rsu_shifted_only_cav_clean_seed0	stage5	clean_all	resolution	stress	rsu_shifted_only_cav_clean		0
stage5_clean_all_resolution_stress_cav_shifted_only_rsu_clean_seed0	stage5	clean_all	resolution	stress	cav_shifted_only_rsu_clean		0
stage5_clean_all_jpeg_s1_all_shifted_seed0	stage5	clean_all	jpeg	s1	all_shifted		0
stage5_clean_all_jpeg_s1_rsu_shifted_only_cav_clean_seed0	stage5	clean_all	jpeg	s1	rsu_shifted_only_cav_clean		0
stage5_clean_all_jpeg_s1_cav_shifted_only_rsu_clean_seed0	stage5	clean_all	jpeg	s1	cav_shifted_only_rsu_clean		0
stage5_clean_all_jpeg_s2_all_shifted_seed0	stage5	clean_all	jpeg	s2	all_shifted		0
stage5_clean_all_jpeg_s2_rsu_shifted_only_cav_clean_seed0	stage5	clean_all	jpeg	s2	rsu_shifted_only_cav_clean		0
stage5_clean_all_jpeg_s2_cav_shifted_only_rsu_clean_seed0	stage5	clean_all	jpeg	s2	cav_shifted_only_rsu_clean		0
stage5_clean_all_jpeg_s3_all_shifted_seed0	stage5	clean_all	jpeg	s3	all_shifted		0
stage5_clean_all_jpeg_s3_rsu_shifted_only_cav_clean_seed0	stage5	clean_all	jpeg	s3	rsu_shifted_only_cav_clean		0
stage5_clean_all_jpeg_s3_cav_shifted_only_rsu_clean_seed0	stage5	clean_all	jpeg	s3	cav_shifted_only_rsu_clean		0
stage5_clean_all_jpeg_stress_all_shifted_seed0	stage5	clean_all	jpeg	stress	all_shifted		0
stage5_clean_all_jpeg_stress_rsu_shifted_only_cav_clean_seed0	stage5	clean_all	jpeg	stress	rsu_shifted_only_cav_clean		0
stage5_clean_all_jpeg_stress_cav_shifted_only_rsu_clean_seed0	stage5	clean_all	jpeg	stress	cav_shifted_only_rsu_clean		0
stage5_clean_all_motion_blur_s1_all_shifted_seed0	stage5	clean_all	motion_blur	s1	all_shifted		0
stage5_clean_all_motion_blur_s1_rsu_shifted_only_cav_clean_seed0	stage5	clean_all	motion_blur	s1	rsu_shifted_only_cav_clean		0
stage5_clean_all_motion_blur_s1_cav_shifted_only_rsu_clean_seed0	stage5	clean_all	motion_blur	s1	cav_shifted_only_rsu_clean		0
stage5_clean_all_motion_blur_s2_all_shifted_seed0	stage5	clean_all	motion_blur	s2	all_shifted		0
stage5_clean_all_motion_blur_s2_rsu_shifted_only_cav_clean_seed0	stage5	clean_all	motion_blur	s2	rsu_shifted_only_cav_clean		0
stage5_clean_all_motion_blur_s2_cav_shifted_only_rsu_clean_seed0	stage5	clean_all	motion_blur	s2	cav_shifted_only_rsu_clean		0
stage5_clean_all_motion_blur_s3_all_shifted_seed0	stage5	clean_all	motion_blur	s3	all_shifted		0
stage5_clean_all_motion_blur_s3_rsu_shifted_only_cav_clean_seed0	stage5	clean_all	motion_blur	s3	rsu_shifted_only_cav_clean		0
stage5_clean_all_motion_blur_s3_cav_shifted_only_rsu_clean_seed0	stage5	clean_all	motion_blur	s3	cav_shifted_only_rsu_clean		0
stage5_clean_all_motion_blur_stress_all_shifted_seed0	stage5	clean_all	motion_blur	stress	all_shifted		0
stage5_clean_all_motion_blur_stress_rsu_shifted_only_cav_clean_seed0	stage5	clean_all	motion_blur	stress	rsu_shifted_only_cav_clean		0
stage5_clean_all_motion_blur_stress_cav_shifted_only_rsu_clean_seed0	stage5	clean_all	motion_blur	stress	cav_shifted_only_rsu_clean		0
stage5_clean_all_defocus_blur_s1_all_shifted_seed0	stage5	clean_all	defocus_blur	s1	all_shifted		0
stage5_clean_all_defocus_blur_s1_rsu_shifted_only_cav_clean_seed0	stage5	clean_all	defocus_blur	s1	rsu_shifted_only_cav_clean		0
stage5_clean_all_defocus_blur_s1_cav_shifted_only_rsu_clean_seed0	stage5	clean_all	defocus_blur	s1	cav_shifted_only_rsu_clean		0
stage5_clean_all_defocus_blur_s2_all_shifted_seed0	stage5	clean_all	defocus_blur	s2	all_shifted		0
stage5_clean_all_defocus_blur_s2_rsu_shifted_only_cav_clean_seed0	stage5	clean_all	defocus_blur	s2	rsu_shifted_only_cav_clean		0
stage5_clean_all_defocus_blur_s2_cav_shifted_only_rsu_clean_seed0	stage5	clean_all	defocus_blur	s2	cav_shifted_only_rsu_clean		0
stage5_clean_all_defocus_blur_s3_all_shifted_seed0	stage5	clean_all	defocus_blur	s3	all_shifted		0
stage5_clean_all_defocus_blur_s3_rsu_shifted_only_cav_clean_seed0	stage5	clean_all	defocus_blur	s3	rsu_shifted_only_cav_clean		0
stage5_clean_all_defocus_blur_s3_cav_shifted_only_rsu_clean_seed0	stage5	clean_all	defocus_blur	s3	cav_shifted_only_rsu_clean		0
stage5_clean_all_defocus_blur_stress_all_shifted_seed0	stage5	clean_all	defocus_blur	stress	all_shifted		0
stage5_clean_all_defocus_blur_stress_rsu_shifted_only_cav_clean_seed0	stage5	clean_all	defocus_blur	stress	rsu_shifted_only_cav_clean		0
stage5_clean_all_defocus_blur_stress_cav_shifted_only_rsu_clean_seed0	stage5	clean_all	defocus_blur	stress	cav_shifted_only_rsu_clean		0
stage5_clean_all_darkness_s1_all_shifted_seed0	stage5	clean_all	darkness	s1	all_shifted		0
stage5_clean_all_darkness_s1_rsu_shifted_only_cav_clean_seed0	stage5	clean_all	darkness	s1	rsu_shifted_only_cav_clean		0
stage5_clean_all_darkness_s1_cav_shifted_only_rsu_clean_seed0	stage5	clean_all	darkness	s1	cav_shifted_only_rsu_clean		0
stage5_clean_all_darkness_s2_all_shifted_seed0	stage5	clean_all	darkness	s2	all_shifted		0
stage5_clean_all_darkness_s2_rsu_shifted_only_cav_clean_seed0	stage5	clean_all	darkness	s2	rsu_shifted_only_cav_clean		0
stage5_clean_all_darkness_s2_cav_shifted_only_rsu_clean_seed0	stage5	clean_all	darkness	s2	cav_shifted_only_rsu_clean		0
stage5_clean_all_darkness_s3_all_shifted_seed0	stage5	clean_all	darkness	s3	all_shifted		0
stage5_clean_all_darkness_s3_rsu_shifted_only_cav_clean_seed0	stage5	clean_all	darkness	s3	rsu_shifted_only_cav_clean		0
stage5_clean_all_darkness_s3_cav_shifted_only_rsu_clean_seed0	stage5	clean_all	darkness	s3	cav_shifted_only_rsu_clean		0
stage5_clean_all_darkness_stress_all_shifted_seed0	stage5	clean_all	darkness	stress	all_shifted		0
stage5_clean_all_darkness_stress_rsu_shifted_only_cav_clean_seed0	stage5	clean_all	darkness	stress	rsu_shifted_only_cav_clean		0
