run_id	phase	setting	shift_family	severity	application_mode	max_samples	shift_seed
stage4_clean_all_pose_noise_s1_all_shifted_seed0	stage4	clean_all	pose_noise	s1	all_shifted		0
stage4_clean_all_pose_noise_s1_rsu_shifted_only_cav_clean_seed0	stage4	clean_all	pose_noise	s1	rsu_shifted_only_cav_clean		0
stage4_clean_all_pose_noise_s1_cav_shifted_only_rsu_clean_seed0	stage4	clean_all	pose_noise	s1	cav_shifted_only_rsu_clean		0
stage4_clean_all_pose_noise_s2_all_shifted_seed0	stage4	clean_all	pose_noise	s2	all_shifted		0
stage4_clean_all_pose_noise_s2_rsu_shifted_only_cav_clean_seed0	stage4	clean_all	pose_noise	s2	rsu_shifted_only_cav_clean		0
stage4_clean_all_pose_noise_s2_cav_shifted_only_rsu_clean_seed0	stage4	clean_all	pose_noise	s2	cav_shifted_only_rsu_clean		0
stage4_clean_all_pose_noise_s3_all_shifted_seed0	stage4	clean_all	pose_noise	s3	all_shifted		0
stage4_clean_all_pose_noise_s3_rsu_shifted_only_cav_clean_seed0	stage4	clean_all	pose_noise	s3	rsu_shifted_only_cav_clean		0
stage4_clean_all_pose_noise_s3_cav_shifted_only_rsu_clean_seed0	stage4	clean_all	pose_noise	s3	cav_shifted_only_rsu_clean		0
stage4_clean_all_pose_noise_stress_all_shifted_seed0	stage4	clean_all	pose_noise	stress	all_shifted		0
stage4_clean_all_pose_noise_stress_rsu_shifted_only_cav_clean_seed0	stage4	clean_all	pose_noise	stress	rsu_shifted_only_cav_clean		0
stage4_clean_all_pose_noise_stress_cav_shifted_only_rsu_clean_seed0	stage4	clean_all	pose_noise	stress	cav_shifted_only_rsu_clean		0
stage4_clean_all_pose_bias_s1_all_shifted_seed0	stage4	clean_all	pose_bias	s1	all_shifted		0
stage4_clean_all_pose_bias_s1_rsu_shifted_only_cav_clean_seed0	stage4	clean_all	pose_bias	s1	rsu_shifted_only_cav_clean		0
stage4_clean_all_pose_bias_s1_cav_shifted_only_rsu_clean_seed0	stage4	clean_all	pose_bias	s1	cav_shifted_only_rsu_clean		0
stage4_clean_all_pose_bias_s2_all_shifted_seed0	stage4	clean_all	pose_bias	s2	all_shifted		0
stage4_clean_all_pose_bias_s2_rsu_shifted_only_cav_clean_seed0	stage4	clean_all	pose_bias	s2	rsu_shifted_only_cav_clean		0
stage4_clean_all_pose_bias_s2_cav_shifted_only_rsu_clean_seed0	stage4	clean_all	pose_bias	s2	cav_shifted_only_rsu_clean		0
stage4_clean_all_pose_bias_s3_all_shifted_seed0	stage4	clean_all	pose_bias	s3	all_shifted		0
stage4_clean_all_pose_bias_s3_rsu_shifted_only_cav_clean_seed0	stage4	clean_all	pose_bias	s3	rsu_shifted_only_cav_clean		0
stage4_clean_all_pose_bias_s3_cav_shifted_only_rsu_clean_seed0	stage4	clean_all	pose_bias	s3	cav_shifted_only_rsu_clean		0
stage4_clean_all_pose_bias_stress_all_shifted_seed0	stage4	clean_all	pose_bias	stress	all_shifted		0
stage4_clean_all_pose_bias_stress_rsu_shifted_only_cav_clean_seed0	stage4	clean_all	pose_bias	stress	rsu_shifted_only_cav_clean		0
stage4_clean_all_pose_bias_stress_cav_shifted_only_rsu_clean_seed0	stage4	clean_all	pose_bias	stress	cav_shifted_only_rsu_clean		0
stage4_clean_all_pose_drift_s1_all_shifted_seed0	stage4	clean_all	pose_drift	s1	all_shifted		0
